date,label
2023-06-18,bullish
2023-06-17,bullish
2023-06-16,bullish
2023-06-15,bearish
2023-06-14,bullish
2023-06-13,bullish
2023-06-12,bullish
2023-06-11,bullish
2023-06-10,bullish
2023-06-09,bullish
2023-06-08,bullish
2023-06-07,bullish
2023-06-04,bullish
2023-06-03,bullish
2023-06-02,bullish
2023-06-01,bearish
2023-05-29,bullish
2023-05-28,bullish
2023-05-27,bullish
2023-05-26,bullish
2023-05-21,bullish
2023-05-20,bullish
2023-05-18,bullish
2023-05-17,bullish
2023-05-14,bullish
2023-05-13,bearish
2023-05-12,bearish
2023-05-07,bullish
2023-05-06,bullish
2023-04-30,bullish
2023-04-29,bullish
2023-04-23,bullish
2023-04-22,bullish
2023-04-16,bullish
2023-04-15,bullish
2023-04-09,bullish
2023-04-08,bullish
2023-04-02,bullish
2023-04-01,bullish
2023-03-26,bullish
2023-03-25,bullish
2023-03-18,bullish
2023-03-12,bullish
2023-03-11,bullish
2023-03-05,bullish
2023-03-04,bullish
2023-02-26,bullish
2023-02-25,bullish
2023-02-19,bullish
2023-02-18,bullish
2023-02-12,bullish
2023-02-11,bullish
2023-02-06,bullish
2023-02-05,bullish
2023-02-04,bullish
2023-01-29,bullish
2023-01-28,bullish
2023-01-26,bullish
2023-01-23,bullish
2023-01-22,bullish
2023-01-21,bullish
2023-01-19,bullish
2023-01-16,bullish
2023-01-15,bullish
2023-01-14,bullish
2023-01-11,bullish
2023-01-10,bullish
2023-01-09,bullish
2023-01-08,bullish
2023-01-07,bullish
2023-01-06,bullish
2023-01-05,bullish
2023-01-04,bullish
2023-01-02,bullish
2023-01-01,bullish
2022-12-31,bullish
2022-12-30,bearish
2022-12-29,bullish
2022-12-28,bullish
2022-12-27,bullish
2022-12-26,bullish
2022-12-25,bullish
2022-12-24,bullish
2022-12-23,bullish
2022-12-21,bullish
2022-12-20,bullish
2022-12-19,bullish
2022-12-18,bullish
2022-12-17,bullish
2022-12-11,bullish
2022-12-10,bullish
2022-12-08,bullish
2022-12-04,bullish
2022-12-03,bullish
2022-12-02,bullish
2022-12-01,bullish
2022-11-29,bullish
2022-11-27,bullish
2022-11-26,bullish
2022-11-25,bullish
2022-11-24,bullish
2022-11-20,bullish
2022-11-19,bullish
2022-11-13,bullish
2022-11-12,bearish
2022-11-06,bullish
2022-11-05,bullish
2022-11-03,bullish
2022-10-30,bullish
2022-10-29,bullish
2022-10-26,bullish
2022-10-23,bullish
2022-10-22,bullish
2022-10-21,bearish
2022-10-20,bullish
2022-10-16,bullish
2022-10-15,bullish
2022-10-14,bearish
2022-10-09,bullish
2022-10-08,bullish
2022-10-07,bullish
2022-10-02,bullish
2022-10-01,bullish
2022-09-26,bearish
2022-09-25,bullish
2022-09-24,bullish
2022-09-23,bearish
2022-09-19,bearish
2022-09-18,bullish
2022-09-17,bullish
2022-09-16,bullish
2022-09-15,bullish
2022-09-14,bullish
2022-09-11,bullish
2022-09-10,bullish
2022-09-09,bullish
2022-09-08,bullish
2022-09-06,bearish
2022-09-05,bullish
2022-09-04,bullish
2022-09-03,bullish
2022-09-02,bullish
2022-09-01,bearish
2022-08-30,bullish
2022-08-29,bullish
2022-08-28,bullish
2022-08-27,bearish
2022-08-23,bullish
2022-08-22,bullish
2022-08-21,bullish
2022-08-20,bullish
2022-08-17,bullish
2022-08-14,bullish
2022-08-13,bullish
2022-08-08,bullish
2022-08-07,bullish
2022-08-06,bullish
2022-08-04,bullish
2022-07-31,bullish
2022-07-30,bullish
2022-07-24,bullish
2022-07-23,bullish
2022-07-18,bullish
2022-07-17,bullish
2022-07-16,bullish
2022-07-15,bullish
2022-07-14,bullish
2022-07-12,bullish
2022-07-10,bullish
2022-07-09,bullish
2022-07-03,bullish
2022-07-02,bullish
2022-06-26,bullish
2022-06-25,bullish
2022-06-12,bearish
2022-06-11,bullish
2022-06-05,bullish
2022-06-04,bullish
2022-05-29,bullish
2022-05-28,bullish
2022-05-21,bullish
2022-05-15,bullish
2022-05-14,bullish
2022-05-08,bearish
2022-05-07,bullish
2022-05-01,bullish
2022-04-30,bullish
2022-04-24,bullish
2022-04-23,bullish
2022-04-17,bullish
2022-04-16,bullish
2022-04-10,bullish
2022-04-09,bullish
2022-04-03,bullish
2022-04-02,bullish
2022-03-27,bullish
2022-03-26,bullish
2022-03-20,bullish
2022-03-19,bullish
2022-03-13,bullish
2022-03-12,bullish
2022-03-06,bullish
2022-03-05,bullish
2022-02-27,bullish
2022-02-26,bullish
2022-02-20,bullish
2022-02-19,bullish
2022-02-13,bullish
2022-02-12,bullish
2022-02-06,bullish
2022-02-05,bullish
2022-01-30,bullish
2022-01-23,bullish
2022-01-22,bullish
2022-01-16,bullish
2022-01-09,bullish
2022-01-08,bullish
2022-01-02,bullish
2022-01-01,bullish
2021-12-26,bullish
2021-12-25,bullish
2021-12-20,bullish
2021-12-19,bullish
2021-12-18,bullish
2021-12-12,bullish
2021-12-11,bullish
2021-11-28,bullish
2021-11-27,bullish
2021-11-20,bullish
2021-11-13,bullish
2021-11-07,bullish
2021-11-06,bullish
2021-10-30,bullish
2021-10-24,bullish
2021-10-23,bullish
2021-10-17,bullish
2021-10-10,bullish
2021-10-03,bullish
2021-10-02,bullish
2021-09-26,bullish
2021-09-25,bullish
2021-09-19,bullish
2021-09-18,bullish
2021-09-12,bullish
2021-09-11,bullish
2021-09-05,bullish
2021-09-04,bullish
2021-08-29,bullish
2021-08-22,bullish
2021-08-21,bullish
2021-08-15,bullish
2021-08-14,bullish
2021-08-08,bullish
2021-08-07,bullish
2021-07-31,bullish
2021-07-25,bullish
2021-07-24,bullish
2021-07-18,bullish
2021-07-17,bullish
2021-07-11,bullish
2021-07-10,bullish
2021-07-05,bullish
2021-07-04,bullish
2021-07-03,bullish
2021-06-27,bullish
2021-06-13,bullish
2021-05-30,bullish
2021-05-29,bullish
2021-05-15,bullish
2021-05-09,bullish
2021-05-08,bullish
2021-05-02,bullish
2021-04-24,bullish
2021-04-17,bullish
2021-04-04,bullish
2021-03-28,bullish
2021-03-27,bullish
2021-03-21,bullish
2021-03-20,bullish
2021-02-28,bullish
2021-01-24,bullish
2021-01-17,bullish
2020-12-13,bearish
2020-12-06,bullish
2020-12-05,bullish
2020-11-29,bullish
2020-11-28,bullish
2020-11-22,bullish
2020-11-21,bullish
2020-11-15,bullish
2020-11-14,bullish
2020-11-08,bullish
2020-11-07,bullish
2020-11-01,bullish
2020-10-26,bullish
2020-10-25,bullish
2020-10-24,bullish
2020-10-23,bullish
2020-10-19,bullish
2020-10-18,bullish
2020-10-17,bullish
2020-10-12,bullish
2020-10-11,bullish
2020-10-10,bullish
2020-10-06,bearish
2020-10-05,bullish
2020-10-04,bullish
2020-10-03,bullish
2020-10-01,bullish
2020-09-30,bullish
2020-09-29,bullish
2020-09-28,bullish
2020-09-27,bullish
2020-09-26,bullish
2020-09-25,bullish
2020-09-22,bullish
2020-09-20,bullish
2020-09-19,bullish
2020-09-16,bullish
2020-09-15,bullish
2020-09-14,bullish
2020-09-13,bullish
2020-09-12,bullish
2020-09-11,bullish
2020-09-09,bullish
2020-09-08,bullish
2020-09-07,bullish
2020-09-06,bullish
2020-09-05,bullish
2020-09-04,bullish
2020-09-02,bullish
2020-09-01,bullish
2020-08-30,bullish
2020-08-29,bullish
2020-08-28,bullish
2020-08-26,bullish
2020-08-25,bullish
2020-08-23,bullish
2020-08-22,bullish
2020-08-21,bullish
2020-08-20,bullish
2020-08-19,bullish
2020-08-18,bullish
2020-08-17,bullish
2020-08-16,bullish
2020-08-13,bullish
2020-08-12,bullish
2020-08-10,bullish
2020-08-09,bullish
2020-08-08,bullish
2020-08-04,bullish
2020-08-03,bullish
2020-08-02,bullish
2020-08-01,bullish
2020-07-26,bullish
2020-07-25,bullish
2020-07-24,bullish
2020-07-22,bullish
2020-07-21,bullish
2020-07-20,bullish
2020-07-19,bullish
2020-07-18,bullish
2020-07-17,bullish
2020-07-16,bullish
2020-07-15,bullish
2020-07-14,bullish
2020-07-13,bullish
2020-07-12,bullish
2020-07-11,bullish
2020-07-10,bullish
2020-07-09,bullish
2020-07-08,bullish
2020-07-07,bullish
2020-07-06,bullish
2020-07-05,bullish
2020-07-04,bullish
2020-07-03,bullish
2020-07-02,bullish
2020-07-01,bullish
2020-06-30,bullish
2020-06-29,bullish
2020-06-28,bullish
2020-06-27,bullish
2020-06-26,bullish
2020-06-25,bullish
2020-06-24,bullish
2020-06-23,bullish
2020-06-22,bullish
2020-06-21,bullish
2020-06-20,bullish
2020-06-19,bullish
2020-06-18,bullish
2020-06-17,bullish
2020-06-16,bullish
2020-06-15,bearish
2020-06-14,bullish
2020-06-13,bullish
2020-06-12,bullish
2020-06-08,bullish
2020-06-07,bullish
2020-06-06,bullish
2020-06-05,bullish
2020-06-03,bullish
2020-05-31,bullish
2020-05-30,bullish
2020-05-29,bullish
2020-05-27,bullish
2020-05-26,bullish
2020-05-25,bullish
2020-05-24,bullish
2020-05-23,bullish
2020-05-21,bullish
2020-05-17,bullish
2020-05-16,bullish
2020-05-14,bullish
2020-05-03,bullish
2020-05-02,bullish
2020-04-27,bullish
2020-04-26,bullish
2020-04-25,bullish
2020-04-24,bullish
2020-04-21,bullish
2020-04-19,bullish
2020-04-18,bullish
2020-04-15,bullish
2020-04-14,bullish
2020-04-13,bullish
2020-04-12,bullish
2020-04-11,bullish
2020-04-10,bearish
2020-04-06,bullish
2020-04-05,bullish
2020-04-04,bullish
2020-04-02,bullish
2020-04-01,bearish
2020-03-31,bullish
2020-03-30,bearish
2020-03-29,bullish
2020-03-28,bullish
2020-03-27,bullish
2020-03-26,bullish
2020-03-25,bullish
2020-03-24,bullish
2020-03-23,bullish
2020-03-22,bullish
2020-03-21,bullish
2020-03-18,bullish
2020-03-17,bearish
2020-03-16,bearish
2020-03-15,bullish
2020-03-14,bullish
2020-03-11,bearish
2020-03-10,bullish
2020-03-08,bullish
2020-03-07,bullish
2020-03-06,bullish
2020-03-02,bullish
2020-03-01,bullish
2020-02-29,bullish
2020-02-28,bullish
2020-02-27,bearish
2020-02-26,bullish
2020-02-25,bullish
2020-02-23,bullish
2020-02-22,bullish
2020-02-21,bullish
2020-02-20,bullish
2020-02-17,bullish
2020-02-16,bullish
2020-02-15,bullish
2020-02-14,bullish
2020-02-13,bullish
2020-02-11,bullish
2020-02-09,bullish
2020-02-08,bullish
2020-02-07,bullish
2020-02-06,bullish
2020-02-05,bullish
2020-02-04,bullish
2020-02-03,bullish
2020-02-02,bullish
2020-02-01,bullish
2020-01-31,bullish
2020-01-30,bullish
2020-01-29,bullish
2020-01-28,bullish
2020-01-27,bullish
2020-01-26,bullish
2020-01-25,bullish
2020-01-24,bullish
2020-01-23,bullish
2020-01-22,bullish
2020-01-21,bullish
2020-01-20,bullish
2020-01-19,bearish
2020-01-18,bullish
2020-01-17,bullish
2020-01-16,bullish
2020-01-15,bullish
2020-01-14,bullish
2020-01-13,bullish
2020-01-12,bullish
2020-01-11,bullish
2020-01-10,bullish
2020-01-09,bullish
2020-01-08,bullish
2020-01-07,bullish
2020-01-06,bullish
2020-01-05,bullish
2020-01-04,bullish
2020-01-03,bullish
2020-01-02,bullish
2020-01-01,bullish
2019-12-31,bullish
2019-12-30,bullish
2019-12-29,bullish
2019-12-28,bullish
2019-12-27,bullish
2019-12-26,bullish
2019-12-25,bearish
2019-12-24,bullish
2019-12-23,bullish
2019-12-22,bullish
2019-12-21,bullish
2019-12-20,bullish
2019-12-19,bullish
2019-12-18,bullish
2019-12-17,bullish
2019-12-16,bullish
2019-12-15,bullish
2019-12-14,bullish
2019-12-13,bullish
2019-12-12,bullish
2019-12-11,bullish
2019-12-10,bullish
2019-12-09,bullish
2019-12-08,bullish
2019-12-07,bullish
2019-12-06,bullish
2019-12-05,bullish
2019-12-04,bullish
2019-12-03,bullish
2019-12-02,bullish
2019-12-01,bullish
2019-11-30,bullish
2019-11-29,bullish
2019-11-28,bullish
2019-11-27,bullish
2019-11-26,bullish
2019-11-25,bearish
2019-11-24,bullish
2019-11-23,bearish
2019-11-22,bearish
2019-11-21,bullish
2019-11-20,bullish
2019-11-19,bullish
2019-11-18,bullish
2019-11-17,bullish
2019-11-16,bullish
2019-11-15,bullish
2019-11-14,bullish
2019-11-13,bullish
2019-11-12,bullish
2019-11-11,bullish
2019-11-10,bullish
2019-11-09,bullish
2019-11-08,bullish
2019-11-07,bullish
2019-11-06,bullish
2019-11-05,bullish
2019-11-04,bullish
2019-11-03,bullish
2019-11-02,bullish
2019-11-01,bullish
2019-10-31,bullish
2019-10-30,bullish
2019-10-29,bullish
2019-10-28,bullish
2019-10-27,bullish
2019-10-26,bullish
2019-10-25,bullish
2019-10-24,bullish
2019-10-23,bullish
2019-10-22,bullish
2019-10-21,bullish
