date,label
2023-06-18,"Negative: 0, Neutral: 5, Positive: 0"
2023-06-17,"Negative: 0, Neutral: 8, Positive: 0"
2023-06-16,"Negative: 0, Neutral: 22, Positive: 0"
2023-06-15,"Negative: 0, Neutral: 16, Positive: 1"
2023-06-14,"Negative: 0, Neutral: 30, Positive: 0"
2023-06-13,"Negative: 0, Neutral: 67, Positive: 0"
2023-06-12,"Negative: 0, Neutral: 69, Positive: 0"
2023-06-11,"Negative: 0, Neutral: 34, Positive: 1"
2023-06-10,"Negative: 0, Neutral: 36, Positive: 0"
2023-06-09,"Negative: 0, Neutral: 54, Positive: 0"
2023-06-08,"Negative: 0, Neutral: 72, Positive: 0"
2023-06-07,"Negative: 0, Neutral: 67, Positive: 0"
2023-06-06,"Negative: 0, Neutral: 94, Positive: 1"
2023-06-05,"Negative: 0, Neutral: 81, Positive: 1"
2023-06-04,"Negative: 0, Neutral: 32, Positive: 0"
2023-06-03,"Negative: 0, Neutral: 23, Positive: 0"
2023-06-02,"Negative: 0, Neutral: 61, Positive: 1"
2023-06-01,"Negative: 0, Neutral: 55, Positive: 1"
2023-05-31,"Negative: 0, Neutral: 85, Positive: 0"
2023-05-30,"Negative: 0, Neutral: 88, Positive: 0"
2023-05-29,"Negative: 0, Neutral: 49, Positive: 2"
2023-05-28,"Negative: 0, Neutral: 30, Positive: 1"
2023-05-27,"Negative: 0, Neutral: 48, Positive: 1"
2023-05-26,"Negative: 0, Neutral: 61, Positive: 0"
2023-05-25,"Negative: 0, Neutral: 92, Positive: 0"
2023-05-24,"Negative: 0, Neutral: 90, Positive: 0"
2023-05-23,"Negative: 0, Neutral: 83, Positive: 1"
2023-05-22,"Negative: 0, Neutral: 108, Positive: 0"
2023-05-21,"Negative: 0, Neutral: 46, Positive: 0"
2023-05-20,"Negative: 0, Neutral: 68, Positive: 1"
2023-05-19,"Negative: 0, Neutral: 100, Positive: 0"
2023-05-18,"Negative: 0, Neutral: 65, Positive: 1"
2023-05-17,"Negative: 0, Neutral: 69, Positive: 0"
2023-05-16,"Negative: 0, Neutral: 81, Positive: 1"
2023-05-15,"Negative: 0, Neutral: 90, Positive: 0"
2023-05-14,"Negative: 0, Neutral: 38, Positive: 0"
2023-05-13,"Negative: 0, Neutral: 26, Positive: 0"
2023-05-12,"Negative: 0, Neutral: 63, Positive: 0"
2023-05-11,"Negative: 0, Neutral: 92, Positive: 0"
2023-05-10,"Negative: 0, Neutral: 87, Positive: 0"
2023-05-09,"Negative: 0, Neutral: 92, Positive: 0"
2023-05-08,"Negative: 0, Neutral: 102, Positive: 0"
2023-05-07,"Negative: 0, Neutral: 34, Positive: 0"
2023-05-06,"Negative: 0, Neutral: 26, Positive: 2"
2023-05-05,"Negative: 0, Neutral: 75, Positive: 0"
2023-05-04,"Negative: 0, Neutral: 98, Positive: 0"
2023-05-03,"Negative: 0, Neutral: 84, Positive: 0"
2023-05-02,"Negative: 0, Neutral: 84, Positive: 0"
2023-05-01,"Negative: 0, Neutral: 76, Positive: 1"
2023-04-30,"Negative: 0, Neutral: 38, Positive: 0"
2023-04-29,"Negative: 0, Neutral: 39, Positive: 0"
2023-04-28,"Negative: 0, Neutral: 82, Positive: 0"
2023-04-27,"Negative: 0, Neutral: 89, Positive: 0"
2023-04-26,"Negative: 0, Neutral: 99, Positive: 3"
2023-04-25,"Negative: 0, Neutral: 85, Positive: 0"
2023-04-24,"Negative: 1, Neutral: 75, Positive: 0"
2023-04-23,"Negative: 0, Neutral: 40, Positive: 0"
2023-04-22,"Negative: 0, Neutral: 43, Positive: 0"
2023-04-21,"Negative: 0, Neutral: 89, Positive: 0"
2023-04-20,"Negative: 0, Neutral: 83, Positive: 0"
2023-04-19,"Negative: 0, Neutral: 102, Positive: 0"
2023-04-18,"Negative: 0, Neutral: 127, Positive: 0"
2023-04-17,"Negative: 0, Neutral: 89, Positive: 1"
2023-04-16,"Negative: 0, Neutral: 35, Positive: 0"
2023-04-15,"Negative: 0, Neutral: 57, Positive: 1"
