date,label
2023-06-18,"Negative: 0, Neutral: 0, Positive: 5"
2023-06-17,"Negative: 0, Neutral: 0, Positive: 8"
2023-06-16,"Negative: 0, Neutral: 0, Positive: 23"
2023-06-15,"Negative: 0, Neutral: 0, Positive: 16"
2023-06-14,"Negative: 0, Neutral: 0, Positive: 35"
2023-06-13,"Negative: 0, Neutral: 0, Positive: 65"
2023-06-12,"Negative: 0, Neutral: 0, Positive: 67"
2023-06-11,"Negative: 0, Neutral: 0, Positive: 35"
2023-06-10,"Negative: 0, Neutral: 0, Positive: 36"
2023-06-09,"Negative: 0, Neutral: 0, Positive: 53"
2023-06-08,"Negative: 1, Neutral: 0, Positive: 74"
2023-06-07,"Negative: 0, Neutral: 0, Positive: 67"
2023-06-06,"Negative: 0, Neutral: 0, Positive: 93"
2023-06-05,"Negative: 0, Neutral: 0, Positive: 82"
2023-06-04,"Negative: 0, Neutral: 0, Positive: 31"
2023-06-03,"Negative: 0, Neutral: 0, Positive: 24"
2023-06-02,"Negative: 0, Neutral: 0, Positive: 64"
2023-06-01,"Negative: 0, Neutral: 0, Positive: 55"
2023-05-31,"Negative: 0, Neutral: 0, Positive: 91"
2023-05-30,"Negative: 0, Neutral: 0, Positive: 84"
2023-05-29,"Negative: 0, Neutral: 0, Positive: 48"
2023-05-28,"Negative: 0, Neutral: 0, Positive: 31"
2023-05-27,"Negative: 1, Neutral: 0, Positive: 49"
2023-05-26,"Negative: 1, Neutral: 0, Positive: 61"
2023-05-25,"Negative: 0, Neutral: 0, Positive: 97"
2023-05-24,"Negative: 0, Neutral: 0, Positive: 85"
2023-05-23,"Negative: 0, Neutral: 0, Positive: 86"
2023-05-22,"Negative: 0, Neutral: 0, Positive: 103"
2023-05-21,"Negative: 0, Neutral: 0, Positive: 50"
2023-05-20,"Negative: 0, Neutral: 0, Positive: 67"
2023-05-19,"Negative: 0, Neutral: 0, Positive: 99"
2023-05-18,"Negative: 0, Neutral: 0, Positive: 66"
2023-05-17,"Negative: 0, Neutral: 0, Positive: 69"
2023-05-16,"Negative: 1, Neutral: 0, Positive: 84"
