Exchange Date,Open,Return,Missing
13-Mar-2020,5722.46,-27.53%,3
17-Jan-2018,10711.36,-23.04%,5
14-Jun-2022,23206.48,-16.71%,5
06-Feb-2018,7102.85,-16.11%,2
28-Jun-2019,10681,-16.05%,2
10-Nov-2022,15810,-15.45%,4
24-May-2021,32576.91,-14.43%,4
19-Jun-2022,17780.08,-13.83%,1
20-Nov-2018,4784.47,-13.44%,1
24-Feb-2021,47954.71,-12.73%,3
22-Feb-2018,10273.01,-12.20%,2
22-May-2021,35208.5,-12.11%,
12-Jan-2021,33933.36,-12.09%,
11-May-2020,8493.48,-11.97%,
15-Nov-2018,5545.35,-11.87%,
25-Sep-2019,8617.9,-11.70%,
11-Jun-2018,6740,-11.65%,
04-May-2020,8843,-11.57%,
20-May-2021,38311.29,-11.53%,
22-Jan-2018,11451.99,-11.36%,
22-Jan-2022,36684.13,-11.21%,
17-Jul-2019,9594.75,-11.15%,
22-Jan-2021,31182.37,-10.66%,
05-Jun-2019,7648,-10.56%,
25-Nov-2018,3805.51,-10.55%,
10-May-2022,30940.5,-10.31%,
30-Mar-2018,7100,-10.07%,
31-Jan-2018,10082,-9.95%,
08-Sep-2021,46808.79,-9.85%,
23-Jun-2018,6067.5,-9.70%,
14-Sep-2022,20234,-9.66%,
27-Nov-2020,17047.31,-9.66%,
23-Jan-2018,10350,-9.62%,
09-Nov-2022,18700,-9.59%,
20-Aug-2022,21198.24,-9.49%,
14-May-2021,49305.39,-9.48%,
21-Nov-2018,4334.28,-9.41%,
11-Jan-2019,3630.32,-9.33%,
05-Dec-2021,48753.67,-9.11%,
02-Feb-2018,9090,-8.75%,
19-Apr-2021,55550,-8.74%,
21-Sep-2021,43527.56,-8.66%,
06-May-2022,36408.95,-8.52%,
29-May-2021,35208.55,-8.52%,
05-Apr-2019,4850,-8.46%,
15-Mar-2018,8300,-8.41%,
12-May-2022,28410.42,-8.31%,
24-Oct-2019,7487.69,-8.23%,
27-Nov-2021,54003.17,-8.23%,
09-Aug-2018,6311.71,-8.22%,
14-Jul-2019,10908.44,-8.17%,
10-Mar-2023,20222,-8.11%,
05-Apr-2018,6799.37,-8.06%,
18-Mar-2018,7834.56,-8.01%,
01-Mar-2021,43177.77,-7.85%,
08-Mar-2018,9936.81,-7.82%,
18-Feb-2022,40686.07,-7.71%,
07-Sep-2018,6432.11,-7.70%,
18-May-2019,7091.5,-7.67%,
18-Jan-2021,35797.97,-7.67%,
26-Jun-2021,32190.44,-7.66%,
12-Apr-2022,39821.77,-7.63%,
25-Feb-2019,3861.9,-7.58%,
28-Mar-2020,6239.49,-7.44%,
05-Feb-2018,8466.39,-7.43%,
27-Mar-2018,7910,-7.41%,
12-May-2018,8421.36,-7.39%,
17-Mar-2020,4896,-7.34%,
01-Jul-2022,18723.73,-7.26%,
12-Jan-2018,13464.11,-7.18%,
26-Dec-2018,3784.65,-6.88%,
01-Feb-2021,32302.81,-6.87%,
14-Dec-2021,46820.25,-6.86%,
22-Jun-2021,32568.17,-6.77%,
02-Jun-2022,29627,-6.74%,
07-Mar-2018,10780.26,-6.73%,
29-Dec-2021,47573.75,-6.70%,
15-Aug-2019,10155.71,-6.53%,
27-Feb-2020,8772.8,-6.51%,
16-Jan-2021,36250.27,-6.50%,
02-May-2023,27668,-6.50%,
05-Mar-2022,39377.66,-6.39%,
13-Mar-2018,9020.32,-6.36%,
02-Jul-2019,10473.89,-6.30%,
27-Apr-2019,5146.6,-6.29%,
24-May-2018,7591.99,-6.22%,
22-Nov-2019,7584.56,-6.22%,
23-Apr-2021,51600,-6.15%,
01-Dec-2018,3933.76,-6.15%,
09-Mar-2018,9327.26,-6.13%,
09-Mar-2020,8342.9,-6.12%,
11-Mar-2022,39326.89,-6.10%,
12-Nov-2022,16722,-6.04%,
05-Mar-2021,47895.14,-6.00%,
22-Sep-2021,40921.25,-5.99%,
19-Jun-2021,35495.38,-5.96%,
17-May-2019,7680.73,-5.93%,
06-Jul-2019,11028.7,-5.92%,
08-Dec-2018,3383.11,-5.88%,
17-May-2021,45410.48,-5.87%,
10-Mar-2020,7853.34,-5.87%,
03-Feb-2018,8561.81,-5.81%,
09-Jan-2018,14938.37,-5.75%,
06-Jan-2022,43575.39,-5.74%,
06-Jun-2023,25643,-5.73%,
05-Jan-2021,31025.6,-5.72%,
04-Dec-2021,53639,-5.72%,
04-Dec-2018,3870.55,-5.66%,
01-Aug-2018,7685.41,-5.63%,
05-Aug-2018,6981.98,-5.57%,
14-Dec-2018,3250.03,-5.56%,
16-Mar-2021,56412.5,-5.54%,
11-Jan-2021,38598.03,-5.53%,
22-May-2020,9060,-5.50%,
08-Feb-2021,37902.82,-5.48%,
03-Sep-2020,11370.56,-5.46%,
23-Nov-2021,56269.28,-5.46%,
12-Aug-2020,11208,-5.45%,
03-Aug-2021,38835.43,-5.45%,
22-Nov-2022,15629.75,-5.42%,
15-Jun-2022,21956.13,-5.39%,
27-Jul-2022,20978.45,-5.35%,
12-Jun-2020,9338.51,-5.34%,
06-Sep-2018,6968.8,-5.33%,
17-Nov-2021,60479.48,-5.32%,
12-Jul-2019,11153,-5.29%,
20-Feb-2020,9620.73,-5.25%,
10-Dec-2021,47981.04,-5.24%,
22-Aug-2019,10144.35,-5.24%,
03-Aug-2020,11231.5,-5.21%,
01-Jul-2019,11178.21,-5.19%,
04-Sep-2020,10782.45,-5.17%,
11-Apr-2020,6921.43,-5.17%,
28-Dec-2018,3581.05,-5.14%,
28-Oct-2021,58908.09,-5.12%,
27-Apr-2022,38122.08,-5.10%,
11-Nov-2021,64265.8,-5.09%,
12-Oct-2018,6299.8,-5.08%,
27-Sep-2019,8088.4,-5.06%,
11-Jul-2019,11776,-5.05%,
04-Mar-2023,22244,-5.04%,
22-Oct-2021,62668.5,-5.04%,
15-Mar-2020,5290.26,-5.03%,
09-Jul-2021,32819,-4.96%,
21-Jan-2019,3518.44,-4.95%,
27-Feb-2021,45661.75,-4.95%,
23-Mar-2020,6021,-4.93%,
03-Feb-2022,36905.15,-4.90%,
06-Sep-2020,10091.49,-4.89%,
11-Feb-2021,45020.08,-4.88%,
25-Jul-2019,9644.5,-4.85%,
14-Aug-2019,10865.55,-4.81%,
10-Apr-2018,6653.92,-4.79%,
10-Feb-2023,21858,-4.79%,
23-Jun-2022,19844.51,-4.78%,
11-Aug-2018,6184.32,-4.78%,
23-Mar-2021,54580,-4.74%,
15-Jan-2018,13500.04,-4.73%,
13-Jul-2022,19446,-4.73%,
29-Aug-2019,9663.5,-4.69%,
06-Jul-2021,33851,-4.69%,
09-May-2023,27556,-4.68%,
27-Aug-2022,20651.43,-4.62%,
12-Apr-2019,5055.02,-4.57%,
19-Mar-2018,7480.44,-4.52%,
23-Feb-2021,54948.2,-4.49%,
11-Dec-2018,3397.3,-4.48%,
04-Mar-2022,42067.27,-4.47%,
06-Dec-2018,3722.6,-4.47%,
17-Jun-2022,20671.31,-4.46%,
27-Oct-2019,9246.08,-4.43%,
07-Apr-2022,43878.13,-4.36%,
01-Jul-2021,34576.96,-4.35%,
16-May-2020,9238.74,-4.33%,
21-Jan-2021,34903.15,-4.33%,
13-May-2021,54469.4,-4.28%,
05-Jun-2021,37052.46,-4.26%,
26-Mar-2018,8543.26,-4.26%,
25-Feb-2018,9499.33,-4.25%,
18-Sep-2018,6209.73,-4.22%,
09-Sep-2018,6171.42,-4.21%,
11-Aug-2019,11355.4,-4.21%,
19-Nov-2021,57592.09,-4.20%,
14-Jun-2018,6258.76,-4.16%,
21-Apr-2020,6862,-4.16%,
