date,error,tweet count,token count
2021-08-06,x,91,5632
2021-06-09,x,99,5532
2020-05-11,x,91,5423
2021-02-11,x,86,5367
2020-12-17,x,82,5263
2020-12-16,x,102,5194
2021-02-12,x,87,5155
2021-02-08,x,104,5151
2021-06-11,x,97,5135
2021-09-07,x,89,4937
2020-05-07,x,73,4856
2021-10-19,x,102,4840
2019-01-09,x,54,4745
2021-10-20,x,86,4707
2021-08-05,x,74,4425
2023-03-17,x,76,4416
2021-06-25,x,81,4411
2021-04-13,x,69,4375
2021-06-22,x,75,4367
2021-05-28,x,67,4353
2021-02-10,x,83,4350
2021-06-15,x,70,4347
2021-02-04,x,79,4346
2021-10-15,x,83,4316
2021-08-02,x,70,4314
2021-06-10,x,73,4305
2021-08-03,x,74,4302
2021-04-14,x,67,4274
2023-04-11,x,74,4242
2021-02-09,x,79,4208
2021-04-26,x,65,4192
2021-07-30,x,63,4181
2021-07-21,x,81,4159
2023-03-20,x,70,4125
2023-03-22,x,71,4117
2021-08-10,,63,4096
2021-02-16,,74,4094
2021-02-17,,78,4075
2021-08-12,,63,4019
2023-02-15,,68,4013
2021-02-19,,71,4005
2023-03-21,,64,3975
2021-01-29,,75,3969
2021-05-21,,66,3951
2021-05-26,,66,3946
2021-05-27,,64,3934
2021-07-29,,67,3934
2023-05-22,,60,3904
2021-09-23,,70,3901
2021-05-04,,54,3890
2022-12-14,,57,3880
2021-06-07,,65,3871
2021-08-09,,67,3857
2021-01-07,,70,3840
2021-08-11,,61,3821
2022-04-08,,79,3820
2023-02-10,,59,3799
2021-05-24,,64,3772
2021-10-18,,69,3755
2021-06-23,,60,3731
2021-09-03,,69,3715
2021-06-24,,60,3700
2020-05-08,,53,3694
2021-03-25,,58,3684
2022-10-13,,61,3677
2021-06-16,,60,3673
2021-06-04,,65,3619
2021-07-27,,61,3616
2023-03-23,,56,3586
2021-08-16,,51,3582
2021-10-28,,61,3577
2021-02-03,,66,3573
2020-05-06,,49,3554
2021-10-06,,69,3542
2021-09-24,,64,3539
2023-02-14,,63,3537
2021-10-21,,67,3532
2022-03-08,,74,3531
2021-06-14,,65,3527
2023-04-26,,56,3523
2021-08-13,,55,3515
2021-04-08,,54,3514
2021-10-14,,69,3513
2022-11-17,,56,3505
2021-06-21,,62,3482
2022-02-08,,60,3476
2021-09-17,,57,3466
2023-02-17,,51,3439
2021-03-11,,48,3430
2021-06-17,,56,3427
2021-03-29,,57,3424
2021-07-26,,56,3413
2021-03-31,,55,3412
2022-12-06,,58,3407
2021-05-13,,60,3402
2021-08-18,,54,3398
2022-05-10,,65,3387
2022-04-26,,57,3384
2022-05-24,,55,3381
2021-05-20,,58,3374
2023-03-07,,55,3370
2022-04-28,,58,3369
2021-11-02,,73,3362
2021-05-06,,52,3360
2021-05-19,,62,3360
2020-05-10,,48,3352
2022-10-18,,56,3346
2021-10-11,,60,3343
2022-03-23,,62,3343
2022-01-03,,65,3340
2023-02-08,,55,3338
2022-10-17,,58,3337
2021-05-18,,56,3337
2023-05-11,,53,3329
2021-11-04,,59,3319
2022-10-27,,57,3316
2021-04-22,,49,3314
2022-04-14,,51,3313
2023-02-09,,50,3310
2023-03-06,,54,3295
2022-02-09,,70,3292
2021-11-11,,56,3283
2021-04-15,,50,3276
2022-12-07,,53,3273
2021-11-08,,68,3271
2022-03-25,,61,3267
2021-04-20,,52,3265
2022-04-27,,55,3263
2021-07-28,,53,3261
2021-02-22,,59,3260
2021-02-20,,52,3259
2023-03-24,,52,3246
2023-01-12,,55,3246
2023-03-03,,50,3246
2022-02-02,,67,3244
2023-05-08,,57,3244
2021-09-14,,68,3242
2021-11-10,,59,3241
2021-06-29,,54,3236
2021-12-10,,61,3229
2021-01-08,,57,3225
2021-08-23,,58,3224
2021-02-23,,57,3219
2022-05-04,,56,3219
2023-03-13,,58,3218
2021-06-18,,59,3215
2021-06-30,,57,3212
2022-01-31,,57,3212
2023-02-24,,49,3205
2022-12-05,,61,3205
2021-04-21,,50,3202
2022-10-31,,65,3196
2021-04-27,,49,3191
2023-01-13,,53,3182
2023-04-06,,53,3172
2022-05-02,,50,3167
2022-04-07,,72,3164
2021-05-05,,43,3162
2023-03-02,,53,3160
2021-08-17,,51,3159
2021-04-23,,51,3158
2023-04-18,,52,3155
2022-01-05,,52,3150
2021-08-04,,49,3146
2021-06-08,,59,3130
2021-10-22,,52,3130
2021-02-25,,54,3124
2023-02-03,,48,3123
2021-01-03,,53,3122
2021-08-24,,57,3105
2021-06-03,,47,3100
2021-10-04,,53,3099
2023-03-01,,48,3099
2022-12-22,,49,3095
2021-10-05,,54,3094
2021-04-29,,47,3092
2022-09-28,,50,3089
2021-07-20,,53,3088
2022-10-24,,50,3088
2021-03-30,,50,3073
2023-04-14,,51,3073
2021-01-26,,54,3065
2022-04-05,,53,3065
2021-04-19,,46,3050
2022-06-10,,52,3048
2022-02-21,,56,3046
2022-03-24,,68,3046
2022-04-13,,49,3044
2021-04-01,,50,3035
2021-01-02,,61,3025
2022-05-19,,57,3025
2022-04-29,,54,3024
2023-03-09,,46,3019
2020-11-09,,53,3017
2023-04-13,,54,3008
2022-01-21,,54,3003
2021-03-19,,47,3002
2020-11-24,,54,3000
2023-03-08,,46,2998
2023-05-24,,50,2987
2022-11-04,,54,2987
2023-02-13,,47,2986
2021-08-20,,52,2982
2022-05-18,,47,2976
2021-03-13,,52,2974
2023-05-30,,52,2973
2020-12-18,,51,2970
2021-10-13,,50,2968
2021-03-02,,48,2966
2022-09-27,,52,2962
2022-05-05,,52,2960
2022-03-29,,54,2958
2022-03-21,,54,2957
2022-02-22,,60,2951
2023-02-21,,49,2948
2021-01-28,,48,2943
2023-04-05,,51,2943
2022-02-10,,56,2941
2023-01-31,,49,2938
2022-04-12,,49,2920
2022-05-09,,52,2920
2021-02-24,,52,2914
2021-07-13,,51,2914
2023-04-12,,46,2912
2023-03-16,,47,2908
2022-06-14,,51,2906
2022-12-21,,52,2903
2021-02-26,,45,2898
2023-05-25,,49,2896
2021-04-02,,44,2895
2020-12-04,,46,2895
2021-07-06,,50,2893
2021-05-12,,45,2889
2023-05-19,,45,2888
2023-06-06,,51,2888
2021-11-23,,52,2888
2023-05-09,,50,2887
2022-05-16,,52,2885
2023-03-27,,51,2884
2021-07-22,,49,2884
2020-11-17,,58,2882
2023-05-23,,45,2878
2021-04-07,,41,2877
2023-05-31,,53,2877
2022-03-30,,50,2874
2023-01-03,,51,2872
2021-09-10,,50,2869
2021-07-08,,50,2866
2023-04-25,,41,2866
2022-11-15,,52,2866
2022-09-13,,50,2861
2022-11-09,,56,2860
2022-06-21,,48,2860
2023-05-05,,44,2860
2023-03-15,,54,2850
2022-03-02,,57,2847
2021-04-16,,43,2847
2021-05-17,,46,2846
2022-11-14,,52,2842
2021-02-18,,50,2840
2023-02-01,,50,2832
2023-02-28,,47,2830
2023-03-10,,45,2822
2021-11-03,,49,2821
2023-04-10,,47,2805
2023-04-27,,46,2799
2022-02-16,,59,2797
2022-02-23,,54,2795
2022-02-01,,64,2788
2021-05-03,,40,2787
2023-03-19,,48,2786
2021-02-15,,49,2785
2023-04-04,,47,2782
2022-02-28,,54,2778
2023-03-29,,46,2776
2021-10-07,,52,2775
2022-06-02,,44,2774
2021-03-22,,42,2771
2022-03-14,,51,2770
2022-01-14,,53,2768
